"filename", "language", "JavaScript", "XML", "JSON", "SQL", "Log", "YAML", "CSS", "Markdown", "Docker", "HTML", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/sql-v2.sql", "SQL", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 25, 17, 137
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/sql.sql", "SQL", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 28, 19, 169
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/App.js", "JavaScript", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 418
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Marker.css", "CSS", 0, 0, 0, 0, 0, 0, 963, 0, 0, 0, 0, 43, 122, 1128
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Structure.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/api.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 11, 66
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/assets/drag.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/assets/page_not_found.svg", "XML", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Analytics.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/ColorPicker.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 61
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Dashboard.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 189
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/DragAndDropUtil.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 81
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/DraggableTest.js", "JavaScript", 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 38, 443
